Year_of_prod,Season,Episode_Title,Duration,Summary,Director,Stars,Votes
2002,8,The One Where Joey Tells Rachel,22,"Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together. Phoebe dates a guy called Don, who she ...                See full summary »",Ben Weiss,8.3,2698
2002,8,The One with the Tea Leaves,22,Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with ...                See full summary »,Gary Halvorson,8.1,2674
2002,8,The One in Massapequa,22,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,Gary Halvorson,8.2,2699
2002,8,The One with Joey's Interview,22,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",Gary Halvorson,7.5,2804
2002,8,The One with the Baby Shower,22,"Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby after the birth. Meanwhile, Joey auditions for a job as a host for a new game show called ""Bamboozled"", and Chandler and Ross help him practice.",Kevin Bright,8.2,2699
2002,8,The One with the Cooking Class,22,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",Gary Halvorson,8.2,2690
2002,8,The One Where Rachel Is Late,22,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.,Gary Halvorson,8.3,2662
2002,8,The One Where Rachel Has a Baby: Part 1,22,"Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - ...                See full summary »",Kevin Bright,8.8,2906
2002,8,The One Where Rachel Has a Baby: Part 2,22,"After Rachel gives birth to her baby, she must confront relationship issues around her.",Kevin Bright,8.9,3150
2002,9,The One Where No One Proposes,22,Rachel thinks that Joey has proposed to her. Monica and Chandler begin trying to have a baby.,Kevin Bright,8.6,2939
2002,9,The One Where Emma Cries,22,"Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.",Sheldon Epps,8.5,2957
2002,9,The One with the Pediatrician,22,"Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer.",Roger Christiansen,8.2,2733
2002,9,The One with the Sharks,22,Monica thinks Chandler is aroused by shark documentaries.,Ben Weiss,8.2,2764
2002,9,The One with Phoebe's Birthday Dinner,22,"Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems.",David Schwimmer,8.5,2799
2002,9,The One with the Male Nanny,22,"Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.",Kevin Bright,8.4,2961
2002,9,The One with Ross's Inappropriate Song,22,"Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment.",Gary Halvorson,8.7,2971
2002,9,The One with Rachel's Other Sister,22,Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,Kevin Bright,8.8,3273
2002,9,The One with Rachel's Phone Number,22,"Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys.",Ben Weiss,8.2,2702
2002,9,The One with Christmas in Tulsa,22,"Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.",Kevin Bright,7.5,2804
2003,9,The One Where Rachel Goes Back to Work,22,"Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show.",Gary Halvorson,8,2601
2003,9,The One with Phoebe's Rats,24,Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,Ben Weiss,8,2688
